timestamp,bit
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,1
1763926798.3555777,1
1763926798.3555777,1
1763926798.3555777,1
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,1
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,1
1763926798.3555777,1
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,1
1763926798.3555777,1
1763926798.3555777,1
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,0
1763926798.3555777,1
1763926798.3555777,1
1763926798.3555777,1
1763926798.3555777,1
1763926798.3555777,1
1763926798.3555777,1
1763926798.3555777,0
