BT,Mod_Index,Received_Text,Score
0.3,0.4,(SILENCIO),0.0000
0.3,0.5,(SILENCIO),0.0000
0.3,0.6,(SILENCIO),0.0000
0.3,0.7,(SILENCIO),0.0000
0.3,0.8,(SILENCIO),0.0000
0.3,0.9,(SILENCIO),0.0000
0.3,1.0,(SILENCIO),0.0000
0.35,0.4,(SILENCIO),0.0000
0.35,0.5,(SILENCIO),0.0000
0.35,0.6,(SILENCIO),0.0000
0.35,0.7,(SILENCIO),0.0000
0.35,0.8,(SILENCIO),0.0000
0.35,0.9,(SILENCIO),0.0000
0.35,1.0,(SILENCIO),0.0000
0.4,0.4,(SILENCIO),0.0000
0.4,0.5,(SILENCIO),0.0000
0.4,0.6,(SILENCIO),0.0000
0.4,0.7,(SILENCIO),0.0000
0.4,0.8,(SILENCIO),0.0000
0.4,0.9,(SILENCIO),0.0000
0.4,1.0,(SILENCIO),0.0000
0.45,0.4,(SILENCIO),0.0000
0.45,0.5,(SILENCIO),0.0000
0.45,0.6,(SILENCIO),0.0000
0.45,0.7,(SILENCIO),0.0000
0.45,0.8,(SILENCIO),0.0000
0.45,0.9,(SILENCIO),0.0000
0.45,1.0,(SILENCIO),0.0000
0.5,0.4,(SILENCIO),0.0000
0.5,0.5,(SILENCIO),0.0000
0.5,0.6,(SILENCIO),0.0000
0.5,0.7,(SILENCIO),0.0000
0.5,0.8,(SILENCIO),0.0000
0.5,0.9,(SILENCIO),0.0000
0.5,1.0,(SILENCIO),0.0000
